terms,Id,tf_idf
mini,211,1.9145350264875596
computer,211,0.6201781606933544
80,229,4.426840650463674
borsa,232,1.5001012483966345
13,240,7.442791504225083
inch,243,4.426840650463674
6,1,1.4650099285853646
memoria,3,3.2228678461377385
pollici,9,1.0595448204772002
windows,12,1.4479154952260644
desktop,19,1.8618912930021374
iris,30,3.733693469903729
pc,34,0.3854682917328297
ddr4,36,2.0597170363320574
tel,43,4.832305758571839
metallo,73,4.832305758571839
ricondizionato,80,1.7642528234382215
windows,88,1.4479154952260644
16gb,92,1.6134299337036377
ddr5,94,4.426840650463674
oled,103,4.139158578011894
triple,105,5.5254529391317835
ricondizionato,117,1.7642528234382215
notebook,131,1.0145934326149337
m.2,137,3.0405462893437836
computer,143,0.6201781606933544
laptop,164,0.7805208107685337
mosiso,176,4.139158578011894
pollici,193,1.0595448204772002
ventole,216,4.832305758571839
ram,220,0.8249725733393676
galaxy,3,4.139158578011894
ka1it,3,5.5254529391317835
ddr4,16,2.0597170363320574
intel,18,1.025643268801519
512gb,18,1.9701048776423702
core,19,1.4824016712972337
oro,22,4.426840650463674
celeron,23,2.529720665577793
processore,28,2.817402738029574
portatile,29,0.5696258815305232
2.4g,32,3.446011397451948
card,34,4.139158578011894
dvd,44,3.2228678461377385
pc,60,0.19273414586641485
1,63,2.6922395950755678
512gb,78,1.9701048776423702
tf,84,3.2228678461377385
128gb,99,3.3282283617955644
pc,100,0.19273414586641485
windows,106,1.4479154952260644
gb,110,2.6118904679113544
computer,110,0.6201781606933544
hp,117,1.4311083769096833
intel,119,1.025643268801519
240,119,3.5795427900764705
pelle,126,4.426840650463674
donna,145,2.6350811812356194
supporto,147,2.3899587232026342
borse,152,4.832305758571839
borse,165,4.832305758571839
nero,185,1.6968115426426889
430,190,4.426840650463674
11,211,1.276957697082425
hdmi,221,1.8365734850178477
9,235,4.139158578011894
ghz,241,2.6350811812356194
logitech,248,4.139158578011894
hp,11,1.4311083769096833
bvate,13,4.832305758571839
versione,18,3.9160150266976834
italiana,18,3.0405462893437836
aocwei,50,4.426840650463674
gb,51,2.6118904679113544
ssd,74,1.315836977352403
ram,78,0.8249725733393676
platino,80,5.5254529391317835
intel,83,2.051286537603038
portatile,97,0.5696258815305232
180,102,4.832305758571839
digitale,102,4.426840650463674
slim,103,3.733693469903729
ddr4,105,2.0597170363320574
intel,115,1.025643268801519
computer,126,0.6201781606933544
viaggio,130,2.752864216892003
libre,136,2.6922395950755678
cartella,143,4.426840650463674
laptop,163,0.7805208107685337
standard,174,5.5254529391317835
disinfettabile,175,4.426840650463674
6,178,1.4650099285853646
pc,180,0.19273414586641485
velocit,182,5.5254529391317835
teams,201,5.5254529391317835
portatili,203,3.3282283617955644
luce,216,3.9160150266976834
surface,222,7.832030053395367
4600u,246,5.5254529391317835
studio,249,5.5254529391317835
8gb,7,2.0597170363320574
fi,31,2.6350811812356194
wifi,32,1.7412633052135227
processore,39,2.817402738029574
16,45,1.9990924145156226
tipo,59,3.5795427900764705
notodd,65,4.426840650463674
ghz,65,2.6350811812356194
11,65,1.276957697082425
usb3.0,67,3.733693469903729
portatile,68,0.5696258815305232
6th,70,4.426840650463674
3.4ghz,87,4.139158578011894
mini,114,1.9145350264875596
pollici,160,1.0595448204772002
ghosting,166,5.5254529391317835
borsone,173,5.5254529391317835
laptop,173,0.7805208107685337
casual,173,4.139158578011894
vaydeer,185,5.5254529391317835
lenovo,189,2.0914657346466377
elitebook,192,3.3282283617955644
compatibile,202,2.529720665577793
anni,203,4.426840650463674
c5,203,5.5254529391317835
laptop,206,0.7805208107685337
optiplex,212,3.9160150266976834
computer,213,0.6201781606933544
portatile,214,0.5696258815305232
gestione,228,4.426840650463674
cover,240,4.426840650463674
11,241,1.276957697082425
switch,239,11.74804508009305
chromebook,15,3.1275576663334133
windows,17,1.4479154952260644
lenovo,20,2.0914657346466377
3,24,2.0914657346466377
home,24,2.5810139599653437
processori,26,5.5254529391317835
rom,32,3.733693469903729
ram,39,0.8249725733393676
512gb,45,1.9701048776423702
ssd,48,0.6579184886762015
m.2,53,3.0405462893437836
6,57,1.4650099285853646
tastiera,59,1.8618912930021374
hdmi,61,1.8365734850178477
usb,63,1.3357981971053583
lntel,66,5.5254529391317835
6200u,69,4.832305758571839
10,69,2.434410485773468
notebook,71,1.0145934326149337
bluetooth,74,2.752864216892003
wifi,84,1.7412633052135227
6core,86,5.5254529391317835
wifi,94,1.7412633052135227
slim,97,3.733693469903729
16gb,100,1.6134299337036377
13.5-pollici,104,5.5254529391317835
256gb,104,2.267356401110302
512,113,3.1275576663334133
fujitsu,119,4.832305758571839
schuko,121,5.5254529391317835
signature,124,5.5254529391317835
hd,139,2.15815710914531
pc,170,0.19273414586641485
on,201,5.5254529391317835
macbook,230,2.229616073127455
compatibile,230,2.529720665577793
2x,121,4.832305758571839
celeron,3,2.529720665577793
15.6,16,1.8365734850178477
glare,33,4.426840650463674
6,55,1.4650099285853646
701q,56,5.5254529391317835
pollici,65,1.0595448204772002
hp,68,1.4311083769096833
win,75,2.1932484289565797
11,78,1.276957697082425
i5,80,1.811880872427476
4050,89,5.5254529391317835
1tb,92,2.229616073127455
18,115,8.278317156023787
pollici,122,1.0595448204772002
ssd,136,0.6579184886762015
5,137,2.6922395950755678
business,137,3.446011397451948
touch,141,4.139158578011894
regalo,157,5.5254529391317835
donna,157,2.6350811812356194
supporto,162,2.3899587232026342
portatili,175,3.3282283617955644
cd,179,8.853681300927349
custodia,183,2.229616073127455
zyb,184,5.5254529391317835
15,184,3.148418441100713
pc,189,0.3854682917328297
11,189,1.276957697082425
830,192,4.832305758571839
gestione,208,4.426840650463674
2021,214,3.446011397451948
fa506ncr,215,5.5254529391317835
1tb,220,2.229616073127455
ddr4,10,2.0597170363320574
bvate,22,4.832305758571839
lenovo,24,2.0914657346466377
6,24,2.930019857170729
wifi,27,1.7412633052135227
usb,28,1.3357981971053583
postazione,31,4.139158578011894
16gb,34,1.6134299337036377
256gb,35,2.267356401110302
acemagic,66,4.139158578011894
bt,67,3.733693469903729
laptop,78,0.7805208107685337
tipo,87,3.5795427900764705
mini,108,3.829070052975119
5,122,2.6922395950755678
nero,132,1.6968115426426889
tastierino,141,5.5254529391317835
laptop,166,0.7805208107685337
pollici,175,1.0595448204772002
14,190,1.7412633052135227
colore,193,3.733693469903729
computer,197,0.6201781606933544
fino,211,1.8618912930021374
ricondizionato,212,1.7642528234382215
internet,213,4.832305758571839
i7,225,2.347399108783838
supporto,228,2.3899587232026342
6,229,1.4650099285853646
nero,229,1.6968115426426889
premium,233,4.426840650463674
hp,236,1.4311083769096833
porta,240,1.8618912930021374
bagasin,250,4.832305758571839
pixel,1,4.426840650463674
uso,10,2.347399108783838
512gb,23,1.9701048776423702
incluso,34,3.9160150266976834
wi,44,2.6350811812356194
ssd,70,0.6579184886762015
ricondizionato,72,1.7642528234382215
i5,93,1.811880872427476
i5,100,1.811880872427476
quad,110,3.9160150266976834
dvd,111,3.2228678461377385
4k,114,3.0405462893437836
0ghz,117,5.5254529391317835
memoria,119,3.2228678461377385
pc,119,0.19273414586641485
mini,139,3.829070052975119
nero,145,1.6968115426426889
computer,153,0.6201781606933544
quality,165,5.5254529391317835
nero,174,1.6968115426426889
air,180,3.0405462893437836
scheda,186,6.445735692275477
portatile,192,0.5696258815305232
laptop,194,0.7805208107685337
16,213,1.9990924145156226
xps,222,5.5254529391317835
2.5ghz,242,4.832305758571839
cavo,245,3.1275576663334133
hdmi,7,1.8365734850178477
win,25,2.1932484289565797
core,30,1.4824016712972337
i5,30,1.811880872427476
pc,51,0.19273414586641485
display,71,1.7877833208484155
fi,73,2.6350811812356194
elitebook,75,3.3282283617955644
iris,78,3.733693469903729
win,86,2.1932484289565797
fi,92,2.6350811812356194
retroilluminata,102,3.733693469903729
qhd,115,5.5254529391317835
vera,126,5.5254529391317835
marrone,126,5.5254529391317835
borsa,129,7.500506241983173
15.6,132,1.8365734850178477
fino,175,1.8618912930021374
pollici,176,1.0595448204772002
portatile,195,0.5696258815305232
archetto,201,5.5254529391317835
ssd,211,0.6579184886762015
condividi,218,5.5254529391317835
blackview,220,5.5254529391317835
ram,234,0.8249725733393676
computer,249,0.6201781606933544
4gb,3,3.446011397451948
pc,7,0.3854682917328297
5g,9,2.752864216892003
fi,15,2.6350811812356194
6gb,22,3.733693469903729
ssd,30,0.6579184886762015
chromeos,33,4.139158578011894
1920,45,3.3282283617955644
1200,45,3.9160150266976834
c12m,49,5.5254529391317835
6,49,1.4650099285853646
amoled,58,4.426840650463674
n4500,61,2.886395609516525
15.6,79,1.8365734850178477
intel,86,2.051286537603038
ultra,103,3.733693469903729
240gb,106,3.446011397451948
n100,112,3.9160150266976834
rom,118,3.733693469903729
mini,119,1.9145350264875596
pacco,134,5.5254529391317835
lavatrice,175,4.426840650463674
3,176,2.0914657346466377
16,178,1.9990924145156226
a2337,183,5.5254529391317835
3.0mm,190,5.5254529391317835
laptop,191,0.7805208107685337
layout,206,3.2228678461377385
3040,212,5.5254529391317835
inclusi,218,4.832305758571839
custodia,220,2.229616073127455
cover,232,4.426840650463674
audio,248,7.832030053395367
notebook,249,1.0145934326149337
16,8,1.9990924145156226
display,15,1.7877833208484155
silver,16,4.139158578011894
arctic,24,5.5254529391317835
pollice,26,4.832305758571839
sd,30,4.139158578011894
1,39,2.6922395950755678
ghz,41,2.6350811812356194
fhd,50,2.1932484289565797
240,51,3.5795427900764705
12,52,3.733693469903729
128gb,59,3.3282283617955644
pro,72,1.1434263044579023
6ghz,77,4.832305758571839
nero,83,1.6968115426426889
pacchetto,93,3.2228678461377385
mini,116,3.829070052975119
15,122,1.5742092205503564
black,124,4.832305758571839
viaggio,132,2.752864216892003
ram,136,0.8249725733393676
hp,138,1.4311083769096833
viaggio,155,2.752864216892003
15,160,3.148418441100713
hp,171,1.4311083769096833
k120,174,5.5254529391317835
8,179,2.5810139599653437
zaino,187,4.343746485678193
impermeabile,187,2.6350811812356194
usb,187,1.3357981971053583
aipie,197,5.5254529391317835
ergonomico,206,3.9160150266976834
and,245,3.9160150266976834
usb3.0,7,3.733693469903729
pornto,8,5.5254529391317835
usb,19,2.6715963942107166
512gb,28,1.9701048776423702
computer,41,0.6201781606933544
uhd,45,2.886395609516525
ssd,49,0.6579184886762015
512gb,53,1.9701048776423702
365,59,4.139158578011894
8gb,72,2.0597170363320574
office,79,2.1242555574696285
gb,83,2.6118904679113544
i3,86,3.5795427900764705
i5,89,1.811880872427476
intel,104,1.025643268801519
inglese,104,4.832305758571839
wifi,105,1.7412633052135227
win11,114,4.139158578011894
tablet,118,6.445735692275477
vga,140,3.1275576663334133
notebook,152,1.0145934326149337
ventilato,162,4.832305758571839
nero,166,1.6968115426426889
ghz,172,2.6350811812356194
5,172,2.6922395950755678
15,175,1.5742092205503564
computer,182,0.6201781606933544
tastiera,188,1.8618912930021374
alimentatore,195,4.139158578011894
hp,202,1.4311083769096833
nero,217,1.6968115426426889
14,225,1.7412633052135227
800,229,4.139158578011894
portatile,232,1.1392517630610464
5g,241,2.752864216892003
professional,1,5.5254529391317835
hp,17,1.4311083769096833
fino,21,1.8618912930021374
ricondizionato,25,1.7642528234382215
ram,27,0.8249725733393676
6,27,1.4650099285853646
1920,28,3.3282283617955644
pc,44,0.19273414586641485
1tb,45,2.229616073127455
display,47,1.7877833208484155
esprimo,54,4.832305758571839
pacchetto,64,3.2228678461377385
gb,70,2.6118904679113544
hdmi,79,1.8365734850178477
fullhd,86,4.832305758571839
ips,89,3.1275576663334133
antiscivolo,123,5.5254529391317835
27,131,5.5254529391317835
celeron,139,2.529720665577793
uomo,152,4.7799174464052685
orizzontale,176,5.5254529391317835
pulsanti,191,3.733693469903729
luminosit,198,5.5254529391317835
11pro,214,5.5254529391317835
porta,224,1.8618912930021374
casa,231,3.733693469903729
win,13,2.1932484289565797
core,26,1.4824016712972337
schermo,36,2.752864216892003
ram,42,0.8249725733393676
2.4g,57,3.446011397451948
estesa,57,4.832305758571839
pro,80,1.1434263044579023
6th,100,4.426840650463674
support,114,5.5254529391317835
8,119,2.5810139599653437
dimensioni,131,4.832305758571839
ssd,137,0.6579184886762015
t4,139,5.5254529391317835
borsa,155,7.500506241983173
15,155,3.148418441100713
tasche,160,4.426840650463674
computer,161,0.6201781606933544
portatile,162,0.5696258815305232
imbottita,171,4.832305758571839
neoprene,175,3.733693469903729
laptop,177,0.7805208107685337
rgb,229,4.426840650463674
rybozen,239,5.5254529391317835
6.5,244,5.5254529391317835
6,245,2.930019857170729
ingressi,248,5.5254529391317835
spostabile,249,5.5254529391317835
pc,5,0.19273414586641485
fhd,6,2.1932484289565797
256gb,12,2.267356401110302
celeron,102,2.529720665577793
core,106,1.4824016712972337
ricondizionato,107,1.7642528234382215
tecnologia,121,5.5254529391317835
samsonite,125,4.832305758571839
xl,126,4.426840650463674
adulto,134,5.5254529391317835
donne,150,4.832305758571839
d,153,4.139158578011894
protettiva,175,3.446011397451948
g5,190,5.5254529391317835
240,196,3.5795427900764705
design,205,4.139158578011894
liquidi,206,5.5254529391317835
50,208,4.832305758571839
laptop,210,0.7805208107685337
ddr3,213,4.139158578011894
cpu,219,2.6922395950755678
windows,221,1.4479154952260644
ricondizionato,236,1.7642528234382215
forma,245,5.5254529391317835
3468,247,5.5254529391317835
usb,216,1.3357981971053583
ssd,6,0.6579184886762015
schermo,17,2.752864216892003
notebook,25,1.0145934326149337
ram,31,0.8249725733393676
cpu,34,2.6922395950755678
57,56,5.5254529391317835
1340p,58,5.5254529391317835
k227,62,5.5254529391317835
pc,67,0.19273414586641485
elitebook,71,3.3282283617955644
intel,76,1.025643268801519
ram,79,0.8249725733393676
usb,95,1.3357981971053583
ssd,97,0.6579184886762015
acemagician,116,4.426840650463674
bluetooth5.0,118,5.5254529391317835
tipo,122,3.5795427900764705
100w,127,5.5254529391317835
steam,127,5.5254529391317835
bt,139,3.733693469903729
borsa,158,4.500303745189903
4,160,2.434410485773468
green,160,4.426840650463674
6,199,2.930019857170729
m2.5,202,5.5254529391317835
pollici,232,1.0595448204772002
notebook,244,1.0145934326149337
notebook,12,1.0145934326149337
8gb,12,2.0597170363320574
2021,14,3.446011397451948
android,29,4.426840650463674
hp,30,1.4311083769096833
ddr4,30,2.0597170363320574
win,32,2.1932484289565797
bluetooth,57,2.752864216892003
wifi,66,1.7412633052135227
hdmi,67,1.8365734850178477
ssd,69,0.6579184886762015
windows,80,1.4479154952260644
core,82,1.4824016712972337
intel,85,1.025643268801519
10,97,2.434410485773468
ventilazione,123,5.5254529391317835
sata,135,4.832305758571839
17,143,2.886395609516525
bontec,163,4.426840650463674
h142mm,163,5.5254529391317835
laptop,184,0.7805208107685337
2023,184,4.426840650463674
portatile,187,1.1392517630610464
computer,192,0.6201781606933544
430,192,4.426840650463674
raspberry,204,5.5254529391317835
sostenibile,205,5.5254529391317835
computer,224,0.6201781606933544
unificata,230,5.5254529391317835
4.4mm,244,5.5254529391317835
computer,3,0.6201781606933544
15,5,1.5742092205503564
notebook,10,1.0145934326149337
n4500,16,2.886395609516525
intel,30,2.051286537603038
completo,34,4.832305758571839
pollici,36,1.0595448204772002
365,39,4.139158578011894
hp,52,1.4311083769096833
uso,71,2.347399108783838
core,78,1.4824016712972337
6,94,2.930019857170729
4k,105,3.0405462893437836
6400t,106,4.832305758571839
ssd,109,0.6579184886762015
wifi,112,1.7412633052135227
3,117,2.0914657346466377
vintage,126,4.832305758571839
pro,127,1.1434263044579023
laptop,132,0.7805208107685337
uomo,133,2.3899587232026342
computer,140,0.6201781606933544
affari,143,3.733693469903729
barra,169,4.832305758571839
leyrica,173,5.5254529391317835
luce,198,11.74804508009305
office,212,2.1242555574696285
9,222,4.139158578011894
computer,234,0.6201781606933544
compatibile,240,2.529720665577793
cpu,5,2.6922395950755678
computer,8,0.6201781606933544
16gb,46,1.6134299337036377
batteria,59,4.139158578011894
battere,66,5.5254529391317835
fullhd,68,4.832305758571839
i5,88,1.811880872427476
zenbook,90,5.5254529391317835
acemagician,112,4.426840650463674
7020,113,5.5254529391317835
tb,115,4.139158578011894
tasti,141,4.426840650463674
computer,150,0.6201781606933544
antifurto,152,3.3282283617955644
compatibile,185,2.529720665577793
adattatore,210,3.5795427900764705
m3,230,3.733693469903729
4k,235,3.0405462893437836
connettore,244,5.5254529391317835
1080,7,3.9160150266976834
hd,10,2.15815710914531
15,10,1.5742092205503564
hdmi,14,1.8365734850178477
libre,20,2.6922395950755678
ghz,36,2.6350811812356194
2k,50,4.832305758571839
6700,53,4.426840650463674
memoria,54,3.2228678461377385
11,57,1.276957697082425
computer,64,0.6201781606933544
notebook,83,1.0145934326149337
fi,86,2.6350811812356194
ricondizionato,88,1.7642528234382215
asus,90,3.0405462893437836
thinkpad,93,3.733693469903729
uso,93,2.347399108783838
7040,106,4.832305758571839
n5095,108,3.733693469903729
2200va,121,5.5254529391317835
ipad,131,4.139158578011894
pc,134,0.19273414586641485
256,138,3.3282283617955644
17,145,2.886395609516525
portatile,153,1.1392517630610464
computer,165,0.6201781606933544
soundbar,169,4.832305758571839
450,196,4.426840650463674
32,197,3.5795427900764705
schermo,221,2.752864216892003
3,226,2.0914657346466377
6,232,1.4650099285853646
lenovo,232,2.0914657346466377
39,1,5.5254529391317835
11,1,1.276957697082425
display,14,1.7877833208484155
office,21,2.1242555574696285
antiriflesso,30,4.426840650463674
ram,47,0.8249725733393676
1920,48,3.3282283617955644
ssd,53,0.6579184886762015
led,56,3.1275576663334133
grafica,62,3.446011397451948
porte,63,4.426840650463674
intel,69,1.025643268801519
rotazione,74,5.5254529391317835
wifi,76,1.7412633052135227
n4500,79,2.886395609516525
pixel,80,4.426840650463674
4,105,4.868820971546936
pc,131,0.19273414586641485
donna,153,2.6350811812356194
15.6,156,1.8365734850178477
scuola,159,2.817402738029574
computer,164,0.6201781606933544
asus,184,3.0405462893437836
mac,207,2.886395609516525
windows,212,1.4479154952260644
pc,213,0.19273414586641485
vga,213,3.1275576663334133
lenovo,214,2.0914657346466377
maxfree,221,5.5254529391317835
custodia,222,2.229616073127455
1tb,230,2.229616073127455
6,241,1.4650099285853646
tastiera,4,1.8618912930021374
256gb,13,2.267356401110302
lpddr4,15,4.832305758571839
lettore,34,3.733693469903729
ram,41,0.8249725733393676
sistema,42,3.9160150266976834
estensioni,50,4.426840650463674
computer,51,0.6201781606933544
13.3,58,4.832305758571839
hd,61,2.15815710914531
pro,69,1.1434263044579023
hp,73,1.4311083769096833
monitor,90,2.480930501408361
sistema,96,3.9160150266976834
intel,98,2.051286537603038
desktop,106,1.8618912930021374
nipogi,108,4.139158578011894
bt5.2,120,4.832305758571839
6,155,1.4650099285853646
chromebook,172,3.1275576663334133
bagasin,178,4.832305758571839
xxl,182,9.664611517143678
dimensione,182,4.832305758571839
tastiera,198,1.8618912930021374
asus,215,3.0405462893437836
